"","organization_identifier","organization_formal_name","activity_identifier","activity_start_date","activity_start_time_time","activity_start_time_time_zone_code","monitoring_location_identifier","result_identifier","result_detection_condition_text","method_specification_name","characteristic_name","result_sample_fraction_text","result_measure_value","result_measure_measure_unit_code","measure_qualifier_code","result_status_identifier","result_value_type_name","result_weight_basis_text","result_comment_text","result_analytical_method_method_identifier","result_analytical_method_method_identifier_context","result_analytical_method_method_name","result_analytical_method_method_qualifier_type_name","method_description_text","laboratory_name","analysis_start_date","analysis_start_time_time","analysis_start_time_time_zone_code","result_detection_quantitation_limit_url","provider_name","project","trib_mainstem","river_mile","monitoring_location_name","monitoring_location_type_name","monitoring_location_description_text","huc_eight_digit_code","latitude_measure","longitude_measure","source_map_scale_numeric","horizontal_collection_method_name","horizontal_coordinate_reference_system_datum_name","country_code","state_code","county_code","tributary_name","site_name","julian_day","season","hardness_mgl","m_a","b_a","m_c","b_c","fw_acute_convert","fw_chronic_convert","fw_acute_std","fw_chronic_std","fw_acute_exceed","fw_chronic_exceed"
"1","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000029_07/18/2000_07:17:00","2000-07-18","07:17:00","AKDT","KENAI_WQX-10000029","STORET-56950313",NA,NA,"Arsenic","Dissolved",4,"ug/L",NA,"Final","Actual",NA,NA,"200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",NA,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000029_07%2F18%2F2000_07%3A17%3A00/results/56950313/resdetectqntlmts","STORET","KBL","t",44,"KBL_t_44.0","River/Stream",NA,NA,60.481518,-150.632498,NA,"Unknown","NAD83","US",2,122,"Killey River","Killey River",200,"Summer",20.98445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000020_07/18/2000_09:42:00","2000-07-18","09:42:00","AKDT","KENAI_WQX-10000020","STORET-56950221",NA,NA,"Arsenic","Dissolved",6,"ug/L",NA,"Final","Actual",NA,NA,"200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",NA,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000020_07%2F18%2F2000_09%3A42%3A00/results/56950221/resdetectqntlmts","STORET","KBL","t",19,"KBL_t_19.0","River/Stream",NA,NA,60.482318,-151.127053,NA,"Unknown","NAD83","US",2,122,"Slikok Creek","Slikok Creek",200,"Summer",52.1831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000021_07/18/2000_09:30:00","2000-07-18","09:30:00","AKDT","KENAI_WQX-10000021","STORET-56950014","Not Detected",NA,"Arsenic","Dissolved",NA,"ug/L",NA,"Final","Actual",NA,NA,"200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",NA,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000021_07%2F18%2F2000_09%3A30%3A00/results/56950014/resdetectqntlmts","STORET","KBL","m",21,"KBL_m_21.0","River/Stream",NA,NA,60.476634,-151.082099,NA,"Unknown","NAD83","US",2,122,NA,"21",200,"Summer",29.45075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000018_07/18/2000_13:10:00","2000-07-18","13:10:00","AKDT","KENAI_WQX-10000018","STORET-56949991","Not Detected",NA,"Arsenic","Dissolved",NA,"ug/L",NA,"Final","Actual",NA,NA,"200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",NA,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000018_07%2F18%2F2000_13%3A10%3A00/results/56949991/resdetectqntlmts","STORET","KBL","m",18,"KBL_m_18.0","River/Stream",NA,NA,60.502005,-151.106973,NA,"Unknown","NAD83","US",2,122,NA,"18",200,"Summer",29.72542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000425_07/18/2000_09:10:00","2000-07-18","09:10:00","AKDT","KENAI_WQX-10000425","STORET-56950175","Not Detected",NA,"Arsenic","Dissolved",NA,"ug/L",NA,"Final","Actual",NA,NA,"200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",NA,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000425_07%2F18%2F2000_09%3A10%3A00/results/56950175/resdetectqntlmts","STORET","KBL","m",82,"KBL_m_82.0","River/Stream",NA,NA,60.492,-149.81087,NA,"Unknown","NAD83","US",2,122,NA,"82",200,"Summer",33.9208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000032_07/18/2000_10:35:00","2000-07-18","10:35:00","AKDT","KENAI_WQX-10000032","STORET-56950336",NA,NA,"Arsenic","Dissolved",5,"ug/L",NA,"Final","Actual",NA,NA,"200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",NA,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000032_07%2F18%2F2000_10%3A35%3A00/results/56950336/resdetectqntlmts","STORET","KBL","t",74,"KBL_t_74.0","River/Stream",NA,NA,60.484622,-149.993955,NA,"Unknown","NAD83","US",2,122,"Russian River","Russian River",200,"Summer",39.4142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000025_07/18/2000_09:06:00","2000-07-18","09:06:00","AKDT","KENAI_WQX-10000025","STORET-56950060","Not Detected",NA,"Arsenic","Dissolved",NA,"ug/L",NA,"Final","Actual",NA,NA,"200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",NA,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000025_07%2F18%2F2000_09%3A06%3A00/results/56950060/resdetectqntlmts","STORET","KBL","m",31,"KBL_m_31.0","River/Stream",NA,NA,60.498284,-150.863121,NA,"Unknown","NAD83","US",2,122,NA,"31",200,"Summer",30.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000008_07/18/2000_12:59:00","2000-07-18","12:59:00","AKDT","KENAI_WQX-10000008","STORET-56950198","Not Detected",NA,"Arsenic","Dissolved",NA,"ug/L",NA,"Final","Actual",NA,NA,"200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",NA,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000008_07%2F18%2F2000_12%3A59%3A00/results/56950198/resdetectqntlmts","STORET","KBL","t",0,"KBL_t_00.0","River/Stream",NA,NA,60.550888,-151.268417,NA,"Unknown","NAD83","US",2,122,"No Name Creek","No Name Creek",200,"Summer",49.6733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000031_07/18/2000_11:40:00","2000-07-18","11:40:00","AKDT","KENAI_WQX-10000031","STORET-56950152","Not Detected",NA,"Arsenic","Dissolved",NA,"ug/L",NA,"Final","Actual",NA,NA,"200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",NA,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000031_07%2F18%2F2000_11%3A40%3A00/results/56950152/resdetectqntlmts","STORET","KBL","m",70,"KBL_m_70.0","River/Stream",NA,NA,60.481392,-150.11502,NA,"Unknown","NAD83","US",2,122,NA,"70",200,"Summer",47.8037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000022_07/18/2000_09:16:00","2000-07-18","09:16:00","AKDT","KENAI_WQX-10000022","STORET-56950244",NA,NA,"Arsenic","Dissolved",10,"ug/L",NA,"Final","Actual",NA,NA,"200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",NA,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000022_07%2F18%2F2000_09%3A16%3A00/results/56950244/resdetectqntlmts","STORET","KBL","t",22,"KBL_t_22.0","River/Stream",NA,NA,60.483364,-151.057656,NA,"Unknown","NAD83","US",2,122,"Soldotna Creek","Soldotna Creek",200,"Summer",68.9493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
