"","organization_identifier","organization_formal_name","activity_identifier","activity_start_date","activity_start_time_time","activity_start_time_time_zone_code","monitoring_location_identifier","result_identifier","result_detection_condition_text","method_specification_name","characteristic_name","result_sample_fraction_text","result_measure_value","result_measure_measure_unit_code","measure_qualifier_code","result_status_identifier","result_value_type_name","result_weight_basis_text","result_comment_text","result_analytical_method_method_identifier","result_analytical_method_method_identifier_context","result_analytical_method_method_name","result_analytical_method_method_qualifier_type_name","method_description_text","laboratory_name","analysis_start_date","analysis_start_time_time","analysis_start_time_time_zone_code","result_detection_quantitation_limit_url","provider_name","project","trib_mainstem","river_mile","monitoring_location_name","monitoring_location_type_name","monitoring_location_description_text","huc_eight_digit_code","latitude_measure","longitude_measure","source_map_scale_numeric","horizontal_collection_method_name","horizontal_coordinate_reference_system_datum_name","country_code","state_code","county_code","tributary_name","site_name","julian_day","season","hardness_mgl","m_a","b_a","m_c","b_c","fw_acute_convert","fw_chronic_convert","fw_acute_std","fw_chronic_std","fw_acute_exceed","fw_chronic_exceed"
"1","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000027_07/18/2000_07:50:00","2000-07-18","07:50:00","AKDT","KENAI_WQX-10000027","STORET-56950101",NA,NA,"Temperature, water",NA,8.89,"deg C",NA,"Final","Actual",NA,NA,"2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000027_07%2F18%2F2000_07%3A50%3A00/results/56950101/resdetectqntlmts","STORET","KBL","m",40,"KBL_m_40.0","River/Stream",NA,NA,60.515441,-150.702069,NA,"Unknown","NAD83","US",2,122,NA,"40",200,"Summer",29.20126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000023_07/18/2000_09:00:00","2000-07-18","09:00:00","AKDT","KENAI_WQX-10000023","STORET-56950055",NA,NA,"Temperature, water",NA,8.89,"deg C",NA,"Final","Actual",NA,NA,"2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000023_07%2F18%2F2000_09%3A00%3A00/results/56950055/resdetectqntlmts","STORET","KBL","m",23,"KBL_m_23.0","River/Stream",NA,NA,60.480338,-151.030847,NA,"Unknown","NAD83","US",2,122,NA,"23",200,"Summer",29.26358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000028_07/18/2000_07:35:00","2000-07-18","07:35:00","AKDT","KENAI_WQX-10000028","STORET-56950123",NA,NA,"Temperature, water",NA,8.89,"deg C",NA,"Final","Actual",NA,NA,"2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000028_07%2F18%2F2000_07%3A35%3A00/results/56950123/resdetectqntlmts","STORET","KBL","m",43,"KBL_m_43.0","River/Stream",NA,NA,60.489844,-150.636905,NA,"Unknown","NAD83","US",2,122,NA,"43",200,"Summer",29.38843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000020_07/18/2000_09:42:00","2000-07-18","09:42:00","AKDT","KENAI_WQX-10000020","STORET-56950239",NA,NA,"Temperature, water",NA,9.44,"deg C",NA,"Final","Actual",NA,NA,"2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000020_07%2F18%2F2000_09%3A42%3A00/results/56950239/resdetectqntlmts","STORET","KBL","t",19,"KBL_t_19.0","River/Stream",NA,NA,60.482318,-151.127053,NA,"Unknown","NAD83","US",2,122,"Slikok Creek","Slikok Creek",200,"Summer",52.1831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000008_07/18/2000_12:59:00","2000-07-18","12:59:00","AKDT","KENAI_WQX-10000008","STORET-56950216",NA,NA,"Temperature, water",NA,12.09,"deg C",NA,"Final","Actual",NA,NA,"2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000008_07%2F18%2F2000_12%3A59%3A00/results/56950216/resdetectqntlmts","STORET","KBL","t",0,"KBL_t_00.0","River/Stream",NA,NA,60.550888,-151.268417,NA,"Unknown","NAD83","US",2,122,"No Name Creek","No Name Creek",200,"Summer",49.6733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000005_07/18/2000_11:30:00","2000-07-18","11:30:00","AKDT","KENAI_WQX-10000005","STORET-56949940",NA,NA,"Temperature, water",NA,8,"deg C",NA,"Final","Actual",NA,NA,"2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000005_07%2F18%2F2000_11%3A30%3A00/results/56949940/resdetectqntlmts","STORET","KBL","m",6.5,"KBL_m_06.5","River/Stream",NA,NA,60.54081,-151.18278,NA,"Unknown","NAD83","US",2,122,NA,"6.5",200,"Summer",30.11214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000002_07/18/2000_10:48:00","2000-07-18","10:48:00","AKDT","KENAI_WQX-10000002","STORET-56949917",NA,NA,"Temperature, water",NA,9,"deg C",NA,"Final","Actual",NA,NA,"2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000002_07%2F18%2F2000_10%3A48%3A00/results/56949917/resdetectqntlmts","STORET","KBL","m",1.5,"KBL_m_01.5","River/Stream",NA,NA,60.54368,-151.22294,NA,"Unknown","NAD83","US",2,122,NA,"1.5",200,"Summer",50.4587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000032_07/18/2000_10:35:00","2000-07-18","10:35:00","AKDT","KENAI_WQX-10000032","STORET-56950354",NA,NA,"Temperature, water",NA,11.39,"deg C",NA,"Final","Actual",NA,NA,"2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000032_07%2F18%2F2000_10%3A35%3A00/results/56950354/resdetectqntlmts","STORET","KBL","t",74,"KBL_t_74.0","River/Stream",NA,NA,60.484622,-149.993955,NA,"Unknown","NAD83","US",2,122,"Russian River","Russian River",200,"Summer",39.4142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000031_07/18/2000_11:40:00","2000-07-18","11:40:00","AKDT","KENAI_WQX-10000031","STORET-56950170",NA,NA,"Temperature, water",NA,10,"deg C",NA,"Final","Actual",NA,NA,"2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000031_07%2F18%2F2000_11%3A40%3A00/results/56950170/resdetectqntlmts","STORET","KBL","m",70,"KBL_m_70.0","River/Stream",NA,NA,60.481392,-150.11502,NA,"Unknown","NAD83","US",2,122,NA,"70",200,"Summer",47.8037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000029_07/18/2000_07:17:00","2000-07-18","07:17:00","AKDT","KENAI_WQX-10000029","STORET-56950331",NA,NA,"Temperature, water",NA,7.78,"deg C",NA,"Final","Actual",NA,NA,"2550","APHA","Temperature of Water by Thermometer",NA,NA,NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000029_07%2F18%2F2000_07%3A17%3A00/results/56950331/resdetectqntlmts","STORET","KBL","t",44,"KBL_t_44.0","River/Stream",NA,NA,60.481518,-150.632498,NA,"Unknown","NAD83","US",2,122,"Killey River","Killey River",200,"Summer",20.98445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
