Year,Species,River,Run.Name,Total.Run,Data Source,Page,Notes
1986,Chinook,Kenai River,Early Run,14177,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
1987,Chinook,Kenai River,Early Run,18340,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
1988,Chinook,Kenai River,Early Run,17531,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
1989,Chinook,Kenai River,Early Run,10341,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
1990,Chinook,Kenai River,Early Run,7813,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
1991,Chinook,Kenai River,Early Run,9178,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
1992,Chinook,Kenai River,Early Run,10539,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
1993,Chinook,Kenai River,Early Run,12600,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
1994,Chinook,Kenai River,Early Run,11766,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
1995,Chinook,Kenai River,Early Run,12437,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
1996,Chinook,Kenai River,Early Run,8454,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
1997,Chinook,Kenai River,Early Run,9716,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
1998,Chinook,Kenai River,Early Run,7730,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
1999,Chinook,Kenai River,Early Run,10474,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
2000,Chinook,Kenai River,Early Run,8879,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
2001,Chinook,Kenai River,Early Run,8992,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
2002,Chinook,Kenai River,Early Run,9487,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
2003,Chinook,Kenai River,Early Run,14491,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
2004,Chinook,Kenai River,Early Run,18397,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
2005,Chinook,Kenai River,Early Run,15452,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
2006,Chinook,Kenai River,Early Run,10638,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
2007,Chinook,Kenai River,Early Run,8514,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
2008,Chinook,Kenai River,Early Run,7637,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
2009,Chinook,Kenai River,Early Run,5465,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
2010,Chinook,Kenai River,Early Run,4288,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
2011,Chinook,Kenai River,Early Run,6564,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
2012,Chinook,Kenai River,Early Run,3391,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
2013,Chinook,Kenai River,Early Run,1702,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
2014,Chinook,Kenai River,Early Run,2702,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
2015,Chinook,Kenai River,Early Run,4317,Fleischman and Reimer 2017,19,Includes only Chinook > 75 cm METF
1986,Chinook,Kenai River,Late Run,60707,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
1987,Chinook,Kenai River,Late Run,75072,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
1988,Chinook,Kenai River,Late Run,70835,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
1989,Chinook,Kenai River,Late Run,41725,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
1990,Chinook,Kenai River,Late Run,33185,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
1991,Chinook,Kenai River,Late Run,37783,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
1992,Chinook,Kenai River,Late Run,51494,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
1993,Chinook,Kenai River,Late Run,59897,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
1994,Chinook,Kenai River,Late Run,53541,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
1995,Chinook,Kenai River,Late Run,43622,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
1996,Chinook,Kenai River,Late Run,44214,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
1997,Chinook,Kenai River,Late Run,45388,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
1998,Chinook,Kenai River,Late Run,43261,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
1999,Chinook,Kenai River,Late Run,45948,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
2000,Chinook,Kenai River,Late Run,42039,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
2001,Chinook,Kenai River,Late Run,45973,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
2002,Chinook,Kenai River,Late Run,56303,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
2003,Chinook,Kenai River,Late Run,68512,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
2004,Chinook,Kenai River,Late Run,92115,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
